VenueID,ManagerID,VenueName,Address,MaxCapacity
1,951,Flashpoint,60 Service Point,193
2,234,Voonte,5183 New Castle Pass,98
3,605,Jabbertype,092 Sutteridge Avenue,103
4,830,Kayveo,761 Express Lane,258
5,308,Bubblebox,1750 John Wall Park,265
6,684,Shufflester,44799 Orin Place,179
7,202,Edgepulse,398 Sachtjen Parkway,232
8,283,Thoughtsphere,363 Mifflin Place,160
9,679,Meevee,49 Ramsey Circle,282
10,796,Ntags,4625 Heffernan Crossing,276
11,484,Snaptags,12119 Kropf Terrace,242
12,480,Rhyloo,4 Birchwood Street,241
13,910,Yambee,95 Dapin Park,135
14,651,Meevee,72028 Ludington Parkway,289
15,149,Kayveo,248 Dawn Center,234
16,743,BlogXS,82 Riverside Parkway,272
17,675,Bluezoom,826 Ronald Regan Drive,214
18,523,Dazzlesphere,8 Forest Dale Trail,260
19,690,Zooxo,37781 Dunning Crossing,183
20,996,Meemm,7487 Hooker Lane,80
21,469,Oodoo,6894 Lake View Way,253
22,197,Trudeo,82 Heffernan Circle,247
23,522,Talane,14 Eagan Parkway,94
24,765,Yozio,557 Waxwing Plaza,84
25,619,Photobean,8 Fuller Park,139
26,619,Skaboo,3699 Spohn Drive,189
27,709,Yakidoo,314 Kenwood Drive,120
28,399,Pixonyx,6239 Dunning Place,111
29,130,Minyx,2022 Ryan Way,259
30,630,Zazio,22 Briar Crest Alley,167
31,715,Devpulse,9 Ridgeview Pass,234
32,148,Voolia,68 Old Gate Hill,226
33,567,Realbuzz,0160 Drewry Plaza,284
34,672,Eimbee,387 Fuller Court,289
35,34,Youtags,0604 Holy Cross Alley,112
36,989,Camimbo,282 Porter Avenue,238
37,119,Skidoo,605 Debra Drive,282
38,333,Edgeclub,003 Daystar Parkway,124
39,903,Vimbo,593 2nd Pass,255
40,952,Mudo,945 Arizona Plaza,206
41,367,Realcube,76274 Warbler Pass,167
42,124,Viva,9 Marcy Point,223
43,963,Omba,5 Sugar Circle,225
44,281,Meezzy,780 Scott Park,256
45,679,Twinder,582 Scott Place,146
46,403,Tavu,4 Stone Corner Drive,119
47,585,Agivu,44 Buhler Point,279
48,19,Yadel,5 Sachs Lane,97
49,945,Meezzy,1 Kim Trail,93
50,41,Riffwire,9 Westport Road,232
51,260,Skivee,7 Old Gate Junction,255
52,782,Jetwire,0 Tennessee Crossing,140
53,235,Nlounge,787 Saint Paul Avenue,249
54,242,Jayo,446 Amoth Pass,276
55,556,Roombo,11307 Holy Cross Court,172
56,503,Fivespan,1 Haas Trail,268
57,919,Latz,24129 Buell Avenue,279
58,716,Divape,3500 Veith Junction,166
59,637,Topicshots,2 Clove Place,267
60,926,Skyba,5 Village Lane,253
61,819,Thoughtbridge,22481 Village Way,252
62,51,Skidoo,45 Chive Circle,115
63,717,Thoughtstorm,71585 Knutson Park,123
64,320,Thoughtmix,16932 Kennedy Drive,90
65,410,Lazz,36 Melvin Trail,209
66,333,Wordify,8801 Lien Drive,156
67,384,Roodel,068 Packers Hill,106
68,655,Twitterbeat,8484 Nobel Lane,265
69,984,Plambee,472 Mcguire Court,141
70,143,Jaxworks,01 Gulseth Alley,240
71,88,Wikizz,72 Pond Center,111
72,133,Lajo,9 Bluestem Lane,146
73,214,Zooxo,845 4th Way,161
74,258,Yakijo,0029 Sutherland Road,165
75,663,Wikido,92132 Forest Drive,188
76,246,Livefish,8897 Ridgeview Junction,94
77,481,Kazio,9 Bashford Way,223
78,860,Blogtags,25592 Briar Crest Park,83
79,908,Kimia,090 Clyde Gallagher Pass,109
80,942,Divanoodle,226 Manley Street,237
81,26,Riffpath,47 Pennsylvania Crossing,98
82,686,Blognation,2938 Sunfield Pass,143
83,304,Blogpad,9895 Lake View Street,163
84,75,Dynava,6890 Donald Hill,219
85,614,Ntags,59 Village Way,244
86,156,Babblestorm,50 Lakewood Gardens Hill,213
87,251,Shuffledrive,7207 Farragut Crossing,277
88,315,Izio,4358 3rd Street,132
89,679,Voonte,646 Maywood Place,213
90,685,Yodel,22 Schurz Park,97
91,529,Flashspan,1 Pearson Park,197
92,776,Gabtune,60528 Bartelt Center,125
93,957,Photobug,9 Hayes Alley,215
94,453,Topicblab,7472 Summerview Trail,235
95,932,Voomm,25009 Arkansas Way,208
96,111,Twitterbeat,0 Dawn Parkway,133
97,775,Ainyx,02879 Carey Court,80
98,280,Gabcube,546 Hoard Parkway,253
99,722,Devpoint,99 Westend Drive,201
100,969,Yodo,4034 Nancy Lane,133
101,533,Wikizz,8934 Clove Circle,174
102,158,Feedfire,09035 Sullivan Way,258
103,84,Zooveo,8754 Basil Park,151
104,192,Zoomcast,62 Twin Pines Park,280
105,504,Zava,9 Reindahl Point,288
106,210,Thoughtstorm,40750 Corben Pass,105
107,649,Skipstorm,69 Vahlen Alley,240
108,349,Dynabox,3 Packers Park,130
109,690,Centidel,0 Briar Crest Trail,95
110,155,Aibox,93260 Springs Circle,164
111,791,Meezzy,602 Summer Ridge Place,234
112,530,Realfire,00 Rockefeller Drive,207
113,629,Wikizz,2 Loftsgordon Avenue,96
114,314,Abata,04 Lakeland Trail,162
115,64,Buzzster,6 Spaight Road,126
116,90,Flipstorm,3 Burrows Junction,255
117,305,Shufflebeat,61 Killdeer Crossing,248
118,89,Brainsphere,1 Hallows Crossing,249
119,196,Podcat,7151 Vahlen Junction,82
120,741,Meezzy,15676 Ramsey Terrace,170
121,458,Feednation,5854 Corry Park,95
122,669,Youtags,4 Barby Plaza,128
123,890,Kamba,065 Anderson Point,269
124,683,Linkbuzz,48 Luster Lane,204
125,231,Realcube,60027 Acker Hill,254
126,860,Avavee,31578 Towne Avenue,131
127,922,Omba,3079 Orin Circle,203
128,625,Skipstorm,8238 Mcguire Alley,150
129,952,Aimbu,07 Lukken Point,106
130,322,Yamia,8114 Dovetail Point,122
131,849,Lajo,8 Pennsylvania Hill,175
132,379,Podcat,45565 Fuller Point,204
133,554,Yakitri,003 Ruskin Hill,134
134,639,Lajo,768 Darwin Hill,216
135,13,Buzzbean,095 Independence Way,271
136,533,Fadeo,6 Heffernan Alley,181
137,916,Gigazoom,12 Quincy Plaza,119
138,617,Tazzy,4346 Cherokee Junction,168
139,264,Mybuzz,439 Sauthoff Drive,271
140,391,Meeveo,2626 Londonderry Way,227
141,123,Divanoodle,58 Farwell Lane,209
142,941,Eazzy,41 Blackbird Court,148
143,36,Leenti,13359 Nelson Alley,154
144,485,Izio,85 Iowa Center,277
145,460,Meevee,69 Cody Circle,180
146,304,Yakitri,20 Haas Court,117
147,527,Yakitri,72 Bultman Avenue,89
148,726,Tagpad,68 Larry Place,200
149,207,Thoughtmix,65 Esch Place,205
150,654,Vimbo,60208 Holmberg Hill,138
151,503,Brainverse,2 Rowland Court,186
152,839,Latz,86311 Boyd Road,214
153,848,Meezzy,4 Algoma Court,152
154,987,Avamba,95458 Schlimgen Drive,248
155,359,Leexo,6966 Grasskamp Point,138
156,996,Wordware,975 Brown Point,221
157,932,Blogpad,7 Scoville Court,185
158,136,Flashdog,93431 Raven Terrace,142
159,847,Yata,700 Bowman Center,199
160,437,Teklist,14 West Parkway,190
161,632,Dabvine,53 Colorado Trail,158
162,599,Mudo,97 Menomonie Street,295
163,38,Gabvine,291 Harper Drive,138
164,585,BlogXS,08 Old Shore Place,294
165,29,Ailane,789 Northfield Place,150
166,205,Linkbridge,50 Nova Lane,262
167,389,Divanoodle,132 Toban Pass,299
168,569,Twitterbridge,226 Gulseth Alley,154
169,889,Lazzy,06123 Haas Parkway,134
170,805,Youfeed,323 Jackson Court,169
171,379,Tagfeed,5473 Hintze Road,173
172,273,Zooxo,467 Monterey Park,300
173,716,Trunyx,13971 Kedzie Hill,121
174,295,Trunyx,5512 Elgar Junction,285
175,825,Fliptune,03504 Transport Avenue,188
176,527,Realpoint,18698 Wayridge Alley,145
177,302,Twimbo,943 Dovetail Center,150
178,839,Lazz,44 John Wall Crossing,282
179,954,Fanoodle,1070 Portage Center,218
180,207,Browseblab,62771 Ohio Circle,120
181,664,Photobug,3 Park Meadow Drive,153
182,214,Teklist,12011 Coleman Place,205
183,262,Voonix,060 Goodland Place,187
184,884,Skiba,7167 Kedzie Pass,178
185,118,Yakidoo,53815 Loomis Lane,228
186,818,Buzzster,84589 Northport Plaza,180
187,637,Twitterwire,81 Manley Pass,123
188,441,Feedbug,30 Chinook Street,201
189,80,Eadel,629 Heath Place,204
190,931,Wikizz,0188 Schiller Court,160
191,423,Shufflester,0 Upham Hill,279
192,55,Izio,4 Stuart Avenue,142
193,868,Devcast,166 Veith Lane,200
194,161,Trilia,73 Golf View Terrace,262
195,548,Avamba,7 Longview Center,123
196,696,Jabbercube,21803 Stoughton Pass,141
197,87,Skyba,2 Ruskin Terrace,139
198,978,Yakidoo,5 Gateway Point,183
199,723,Oodoo,469 Michigan Alley,112
200,515,Meemm,97726 Dapin Park,123
201,540,Eazzy,6 Pennsylvania Road,263
202,731,Realbuzz,2 Heffernan Street,221
203,339,BlogXS,4851 Hanson Pass,218
204,161,Trudeo,03677 Transport Junction,171
205,48,Jayo,85128 Elgar Crossing,265
206,490,Wordtune,8 Shoshone Junction,267
207,892,Skipfire,4973 Brown Drive,125
208,945,Wikido,10 Hollow Ridge Terrace,104
209,662,Brainlounge,606 Dottie Point,218
210,931,Miboo,08 Bonner Crossing,142
211,417,Fivespan,15 Holy Cross Place,82
212,724,Rooxo,24541 Manitowish Road,244
213,529,Flipopia,24 Northridge Hill,218
214,757,Eare,5504 Bluejay Park,269
215,303,Skipstorm,3626 Tennessee Drive,170
216,744,Quamba,96555 Schlimgen Street,153
217,817,Blognation,66 Rieder Point,101
218,981,Skiba,35 Algoma Parkway,239
219,973,Lazz,8458 Shoshone Trail,192
220,933,Gabspot,1653 International Road,146
221,112,JumpXS,076 Westridge Way,190
222,32,Livefish,5458 Scott Trail,108
223,338,Quatz,035 Paget Court,271
224,410,Aibox,3 Carpenter Crossing,121
225,41,Aimbo,1 Dakota Terrace,228
226,316,Dynava,36 Dawn Trail,151
227,656,Brainbox,033 Sheridan Place,158
228,498,Tanoodle,84527 Hoard Parkway,227
229,935,Topiclounge,9474 Melrose Point,203
230,941,Blogtags,5102 Butternut Hill,123
231,945,Skyvu,043 Service Pass,294
232,486,Yata,3708 Coleman Drive,196
233,533,Skyndu,6474 Golf Parkway,295
234,964,Shuffletag,6979 Lyons Pass,179
235,62,Cogilith,4 Scott Court,124
236,695,Dazzlesphere,961 Anzinger Court,167
237,377,Realbridge,3568 Oneill Way,141
238,468,Photobug,7 Scott Pass,148
239,8,Abatz,89950 Warbler Parkway,143
240,492,Tagpad,3031 Wayridge Way,98
241,341,Voonix,615 Nancy Hill,223
242,594,Cogilith,2 Hovde Lane,173
243,244,Voolith,92577 Reindahl Drive,246
244,362,Zoovu,65858 Acker Plaza,225
245,617,Twiyo,0 Loomis Junction,286
246,517,Edgepulse,88239 Reindahl Point,150
247,870,Rhyloo,63 Nova Terrace,166
248,472,Tanoodle,06 Westerfield Court,101
249,939,Skippad,4862 Sommers Park,126
250,519,Thoughtbeat,676 La Follette Court,182
251,152,Fatz,0725 Manitowish Place,286
252,591,Skivee,66326 Evergreen Park,186
253,818,Oyoyo,856 Havey Crossing,150
254,765,Topiczoom,4 Gerald Lane,254
255,60,Eabox,5 Daystar Pass,173
256,523,Trudoo,4825 Garrison Terrace,226
257,634,Zoovu,6 Summerview Drive,144
258,142,Wikivu,34 Linden Junction,238
259,726,Thoughtstorm,50533 Mifflin Plaza,263
260,178,Nlounge,6 Evergreen Point,256
261,241,Dynabox,1 Dakota Court,191
262,248,Avamba,684 Burrows Lane,254
263,570,Avaveo,390 Delaware Place,273
264,426,Blogtag,52113 Mallory Place,118
265,660,Kazio,9 Magdeline Park,167
266,682,Browsezoom,163 Kinsman Street,295
267,48,Tambee,92 Bonner Hill,297
268,142,Latz,27 Crescent Oaks Court,183
269,942,Cogidoo,99 Cherokee Park,172
