ReviewID,ServiceID,VenueID,UserID,Rating,Comment,ReviewDate
1,,505.0,209,5,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,9/11/2024
2,,738.0,880,3,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,9/11/2024
3,,801.0,5,0,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,9/10/2024
4,,43.0,504,0,varius integer ac leo pellentesque ultrices mattis odio donec vitae,9/11/2024
5,,906.0,22,1,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,9/11/2024
6,,681.0,893,1,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,9/10/2024
7,,875.0,65,0,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,9/11/2024
8,,860.0,185,3,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,9/11/2024
9,124.0,,684,0,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,9/11/2024
10,164.0,,698,3,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,9/11/2024
11,53.0,,383,3,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,9/11/2024
12,,743.0,896,5,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,9/10/2024
13,34.0,,651,5,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,9/11/2024
14,,109.0,263,5,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,9/11/2024
15,92.0,,445,5,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,9/11/2024
16,10.0,,827,0,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,9/10/2024
17,,955.0,342,4,cum sociis natoque penatibus et magnis dis parturient montes nascetur,9/10/2024
18,191.0,,689,2,pede ac diam cras pellentesque volutpat dui maecenas tristique est,9/11/2024
19,,431.0,755,5,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,9/10/2024
20,176.0,,396,4,morbi vel lectus in quam fringilla rhoncus mauris enim leo,9/11/2024
21,189.0,,298,0,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,9/11/2024
22,12.0,,17,4,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,9/10/2024
23,,120.0,700,3,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,9/11/2024
24,183.0,,114,0,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,9/10/2024
25,,734.0,16,1,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,9/11/2024
26,,807.0,851,2,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,9/10/2024
27,96.0,,680,2,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,9/10/2024
