ServiceID,BundleID,VendorID,ServiceName,Price,Description
1,,54,Lights,1835,"Person outside car injured in collision w van nontraf, init"
2,,271,Decor,1423,"Neuroma of amputation stump, left upper extremity"
3,,654,Food,1539,"Pnctr w foreign body of finger w/o damage to nail, init"
4,,997,Decor,1925,"Contusion of left ankle, sequela"
5,,228,Lights,957,"Dislocation of unsp interphaln joint of unsp finger, sequela"
6,,401,Sanitation,1109,"Laceration of blood vessel of right ring finger, subs encntr"
7,,475,Decor,1013,"Hypothermia following anesthesia, sequela"
8,,604,Sanitation,1044,"Twin liveborn infant, born in hospital"
9,,944,Catering,1977,"Oth foreign body or object entering through skin, subs"
10,,992,Catering,1959,"Poisn by selective seroton/norepineph reup inhibtr, assault"
11,184,582,Sanitation,308,Contusion of left elbow
12,,60,Food,1596,"Disp fx of medial condyle of left humerus, sequela"
13,,212,Food,1427,"Unsp injury of musc/fasc/tend triceps, left arm, subs"
14,146,920,Sound,907,Other incomplete lesion at C6 level of cervical spinal cord
15,,925,Catering,1403,"Osteolysis, unspecified shoulder"
16,190,140,Sanitation,104,"Prsnl hx of malig neoplm of lymphoid, hematpoetc & rel tiss"
17,,542,Sound,1376,"Spontaneous rupture of other tendons, left ankle and foot"
18,,986,Food,823,Strain of unspecified Achilles tendon
19,,54,Sanitation,151,"Disp fx of low epiphy (separation) of l femr, 7thF"
20,,658,Sound,1416,Unspecified complication of lung transplant
21,190,291,Sound,1613,"Adverse effect of drugs affecting uric acid metab, sequela"
22,,174,Lights,686,"Lacerat unsp musc/fasc/tend at thi lev, right thigh, sequela"
23,,193,Decor,795,Mech compl of oth cardiac and vascular devices and implants
24,132,233,Decor,1927,"Arthritis due to other bacteria, shoulder"
25,,469,Sound,121,"Insect bite (nonvenomous) of r frnt wl of thorax, init"
26,,110,Lights,1600,"Poisoning by thyroid hormones and sub, accidental, sequela"
27,80,768,Sound,1167,"Adverse effect of cannabis (derivatives), sequela"
28,198,804,Food,1863,"Other physeal fracture of phalanx of unspecified toe, 7thB"
29,4,412,Sanitation,1960,"Corrosion of unsp deg mult sites of unsp wrs/hnd, init"
30,,69,Catering,728,"Drown due to oth accident to oth powered watercraft, subs"
31,7,107,Lights,951,Struck by ice hockey stick
32,,756,Sanitation,1001,Aftercare following sterilization reversal
33,,401,Sanitation,1769,"Unsp opn wnd abd wall, epigst rgn w/o penet perit cav, sqla"
34,,137,Sound,381,"Rheumatoid arthritis without rheumatoid factor, right wrist"
35,100,611,Catering,1504,"Major laceration of left internal jugular vein, init encntr"
36,72,795,Lights,1261,"Unspecified purulent endophthalmitis, bilateral"
37,,971,Sanitation,1769,"Path fx in oth dis, left radius, subs for fx w routn heal"
38,,505,Food,580,"Other chronic osteomyelitis, left shoulder"
39,,958,Decor,753,Rheumatoid polyneuropathy w rheumatoid arthritis of ank/ft
40,,793,Food,963,Burn of first degree of unspecified axilla
41,,369,Catering,73,"Vitamin A deficiency, unspecified"
42,,880,Sanitation,1333,"Poisoning by oth nonopio analges/antipyret, NEC, acc, init"
43,15,411,Decor,367,"Pathological fracture, right ulna, subs for fx w delay heal"
44,,815,Catering,1398,"Traum subdr hem w/o loss of consciousness, subs"
45,39,904,Food,482,"Foreign body granuloma of soft tissue, NEC, thigh"
46,,263,Catering,745,"Nondisp apophyseal fx unsp femr, subs for clos fx w nonunion"
47,,709,Decor,303,"Puncture wound with foreign body, left hip"
48,101,766,Decor,1700,"War operations involving rubber bullets, milt, subs"
49,,574,Lights,939,"Premature ROM, onset labor more than 24 hours fol rupture"
50,,240,Sanitation,1040,"Infections of bladder in pregnancy, second trimester"
51,159,799,Lights,211,"Unsp inj unsp musc/tend at lower leg level, unsp leg, init"
52,158,654,Sound,1690,"Open bite, right lower leg, initial encounter"
53,1,632,Decor,277,"Balanced rearrangements and structural markers, NEC"
54,172,532,Sanitation,871,Other neurologic disorders in Lyme disease
55,,376,Lights,1860,Corrosions involving 60-69% of body surface
56,184,548,Sanitation,1856,Longitudinal fracture of patella
57,2,735,Sound,1128,"Driver of 3-whl mv inj in clsn w 2/3-whl mv in traf, subs"
58,,727,Sanitation,642,"Oth fx fourth MC bone, right hand, subs for fx w delay heal"
59,,702,Sound,1435,"Displ transverse fx shaft of unsp tibia, 7thE"
60,,853,Food,1973,"Hemiplegia, unspecified affecting unspecified side"
61,83,683,Food,814,"Occup of 3-whl mv inj pick-up truck, pk-up/van in traf, init"
62,,483,Food,336,Unequal limb length (acquired)
63,,704,Catering,481,"Minor lacerat femoral vein at hip and thigh level, right leg"
